Waypoint, S
272, 230.420
273, 231.313
274, 231.745
275, 232.629
276, 233.954
277, 234.838
278, 235.280
279, 235.722
280, 237.046
281, 237.930
282, 238.813
283, 239.254
284, 240.579
285, 241.461
286, 241.903
287, 242.785
288, 244.119
289, 245.001
290, 245.442
291, 246.325
292, 247.658
293, 248.540
294, 248.981
295, 249.863
296, 251.186
297, 252.068
298, 252.509
299, 253.401
300, 254.723
301, 255.605
302, 256.046
303, 256.927
304, 258.250
305, 259.141
306, 259.582
307, 260.463
308, 261.785
309, 262.666
310, 263.548
311, 264.879
312, 265.761
313, 266.201
314, 267.092
315, 268.414
316, 269.305
317, 270.186
318, 271.067
319, 272.399
320, 273.280
321, 273.720
322, 274.611
323, 276.373
324, 277.254
325, 277.705
326, 279.466
327, 280.357
328, 281.238
329, 281.689
330, 283.450
331, 284.331
332, 284.782
333, 286.554
334, 287.435
335, 288.315
336, 288.766
337, 290.538
338, 291.859
339, 292.300
340, 294.072
341, 294.953
342, 295.834
343, 297.165
344, 298.046
345, 298.937
346, 299.818
347, 301.590
348, 302.471
349, 303.362
350, 304.684
351, 306.016
352, 306.456
353, 308.228
354, 309.550
355, 310.000
356, 311.762
357, 312.653
358, 313.534
359, 314.865
360, 316.186
361, 316.626
362, 318.397
363, 319.717
364, 320.157
365, 321.928
366, 322.808
367, 323.698
368, 325.018
369, 326.349
370, 326.789
371, 328.559
372, 329.879
373, 330.319
374, 332.089
375, 332.979
376, 333.859
377, 335.179
378, 336.509
379, 336.949
380, 338.719
381, 339.599
382, 340.489
383, 341.809